City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Finschhafen,PG,2022-01-20 22:43:46,-6.6024,147.8681,81.77,77,99,1.9
1,Albany,US,2022-01-20 22:40:46,42.6001,-73.9662,20.48,57,23,15.99
2,Hobart,AU,2022-01-20 22:43:47,-42.8794,147.3294,71.02,61,0,1.01
3,Cape Town,ZA,2022-01-20 22:42:50,-33.9258,18.4232,66.27,75,0,5.01
4,Yamasaki,JP,2022-01-20 22:43:47,35.0,134.55,36.48,87,22,3.27
5,Tuktoyaktuk,CA,2022-01-20 22:43:48,69.4541,-133.0374,-22.0,76,75,14.97
6,Hilo,US,2022-01-20 22:43:48,19.7297,-155.09,78.8,69,75,10.36
7,Rikitea,PF,2022-01-20 22:43:48,-23.1203,-134.9692,78.57,73,100,8.5
8,Kampot,KH,2022-01-20 22:43:49,10.6167,104.1833,71.65,83,18,2.33
9,Lorengau,PG,2022-01-20 22:43:49,-2.0226,147.2712,81.68,78,100,6.8
10,Tasiilaq,GL,2022-01-20 22:43:50,65.6145,-37.6368,32.16,98,100,15.77
11,Codrington,AU,2022-01-20 22:43:51,-38.2667,141.9667,80.83,32,0,8.99
12,Noumea,NC,2022-01-20 22:43:51,-22.2763,166.4572,80.01,99,90,12.57
13,Vila Franca Do Campo,PT,2022-01-20 22:43:51,37.7167,-25.4333,63.01,84,16,16.91
14,Jamestown,US,2022-01-20 22:41:06,42.097,-79.2353,15.12,72,100,5.75
15,Amapa,BR,2022-01-20 22:43:52,1.0,-52.0,72.39,99,80,2.89
16,Hami,CN,2022-01-20 22:43:52,42.8,93.45,26.01,46,100,1.39
17,Fortuna,US,2022-01-20 22:43:52,40.5982,-124.1573,64.18,81,20,4.0
18,Itapirapua,BR,2022-01-20 22:43:52,-15.8233,-50.6133,74.79,82,8,3.67
19,Punta Arenas,CL,2022-01-20 22:43:53,-53.15,-70.9167,68.11,37,0,4.61
20,Sarrebourg,FR,2022-01-20 22:43:53,48.7333,7.05,35.17,95,44,3.6
21,Mataura,NZ,2022-01-20 22:43:53,-46.1927,168.8643,57.47,61,71,8.48
22,Villarrica,PY,2022-01-20 22:43:54,-25.75,-56.4333,92.03,31,73,5.19
23,Kodiak,US,2022-01-20 22:43:54,57.79,-152.4072,36.91,87,100,21.85
24,Lagoa,PT,2022-01-20 22:43:54,39.05,-27.9833,61.11,87,95,19.69
25,Bluff,NZ,2022-01-20 22:43:55,-46.6,168.3333,57.79,72,72,16.53
26,Vasilsursk,RU,2022-01-20 22:43:55,56.1275,46.0072,12.09,87,99,11.23
